sentence1,sentence2,label,,,,
lonely and sad for no reason,lonely,1,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
My boyfriend hurts me so much…,Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
my work makes me feel,my school makes me feel,0,,,,
coming out as a lesbian,lost,0,,,,
i feel helpless,i’m in pain,1,,,,
my family,anxiety and depression,0,,,,
"regret, guilt, not having the chance to make things different here not sure about a lot of feelings, feel very scared",i’m thinking about leaving my husband people are telling me he’s cheated on me and i’ve found messages but he still won’t admit and we fight constantly,0,,,,
Sometimes being a military wife sucks!,Family makes me feel restricted pressured,0,,,,
Three more months until my suicide date.,Can't find motive to study,0,,,,
If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,1,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,0,,,,
hi,drugs,0,,,,
My boyfriend hurts me so much…,"why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
I have no friends at all,my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,0,,,,
friendship,"social anxiety, lack of motivation and general stress",0,,,,
"friendship, depression, and suicide",friends with benefits,0,,,,
my relationship makes me feel,"constipation, anxity",0,,,,
I dont know how to talk to my crush,I like this girl but idk how to talk to her,1,,,,
meh,need help,0,,,,
my family makes me feel empty,"need to no if i am the only who thor feeling hurt easy, bad day",0,,,,
Just lost a job that would have changed my life.  They gave me no reason or explanation.  Everyone said it was a sure thing.,I wish you could choose who your parents are.,0,,,,
Stressed about money,Living without drugs is incredibly challenging.,0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",Will I be a good mom?,0,,,,
school,cruel parents,0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",I just really need someone to talk to.. I feel so lonely..ðŸ˜”,0,,,,
Friendzone,Friend zone,1,,,,
I constantly think my kids would be better off without me.,My family thinks I'm a failure and I'm only 14...,1,,,,
just wanna kill some time,I am bored,1,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,My BPD girlfriend just discarded me. I feel so low.,0,,,,
I feel so alone..,"why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
"I feel like I don't matter to him, by his actions.",Depersonalization is not fun. Being in a body feels so strange right now.,0,,,,
"I just broke down in tears while working, nice, three more hours to go..",Working late again trying to balance work life and social life,1,,,,
I'm depressed and losing control of my life.,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
"i am struggling with my relationship, depression and anxiety. i am feeling lonely and like a failure in life.",anxiety,1,,,,
"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",Having a bipolar Mom means I never know which Mom I get that day.,0,,,,
relationship issues,"feeling helpless in helping my pet, i'm depressed and my parents make me want to kill myself",0,,,,
alcohol and substances,Alcohol problems,1,,,,
Trying to understand why my adult sister mocks the pain she caused me in childhood,Childhood abuse Present day mocking,1,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,Family makes me feel restricted pressured,0,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",my family really doesnt care about me I think.,0,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,Sometimes being a military wife sucks!,0,,,,
I have left school but the bullies have never left my mind.  They still mock me.,"My depression is mostly irritating after all these years, but still awful.",0,,,,
I got ghosted by a guy i really like.,"Girls make me sad Girls \n I think my aromantic friend may like me, and I’m a little confused.  I am alone. Nobody likes me My mom died and my dad’s a horrible father. Sad Need advice on the next move with a girl Heartbreak  Lonely Almost every friend I make ends up turning on me. The friends I open up and allow to get close to me always hurt or leave me. Heartbreak  I am so confused I’ve been dating this guy for 19 years, well he has been distant with me and I felt something wasn’t right, well he’s been seeing a 26 yr old he’s 58, I’m 43. I’m heart broken My girlfriend is being a bit too clingy. I'm not sure how to deal with her. I don't want to leave her. I don't want her to overwhelmed me or I might have to if she does. Help! I don’t know if I should break up with my boyfriend or not  I don’t know if I should break up with my boyfriend or not.  breakup My he needs help My girlfriend is being a bit too clingy. Help! A person\n Need Female Advice Guy trouble",0,,,,
I just want a baby so bad: ( is that so hard to have???,I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,1,,,,
Feeling stuck and not getting to where I am where I want to be,Feeling stuck and not getting to where I want to be,1,,,,
can’t figure it out,friend conflict,0,,,,
depression,depression,1,,,,
loneliness,friendship chatting sex,0,,,,
sad,issues with boyfriend feeling depressed,1,,,,
i feel sad frequently for seemingly no reason,how do i talk to this guy i like,0,,,,
anxiety,i feel lonely and depressed,0,,,,
My boyfriend hurts me so much…,"I was sexually abused by my grandfather. I tell people so it no longer attacks my mind. Once a secret is out there, it can no longer hurt me.",0,,,,
"Im tired, I havent been in civilisation for a month, Im in the army, I need company.",I have trichotillomania and I've never told anyone :/,0,,,,
i’m self harming and really struggling at the moment with personal issues and financial problems,postcoital dysphoria,0,,,,
my family makes me feel stressed,letting go after divorce,0,,,,
suicidal thoughts,i feel like shutting everyone out,1,,,,
My partner doesn't understand me.,"Feeling a little sad, morning the loss of our baby",0,,,,
"The girl I like keeps hanging out with this other guy,what do I do?","I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",0,,,,
sexuality,my body i am overweight,0,,,,
stroking,relationship,0,,,,
depression,i'm lost and broken i need help,1,,,,
okee but want to travel or experience what life offers.,"feeling ptsd, tired of being tired well if somebody need help chat i will trying help",0,,,,
semen,adult adulting,0,,,,
sad,my life makes me feel,0,,,,
depression,depressed,1,,,,
Working late again trying to balance work life and social life,Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,0,,,,
relationship,i feel overwhelmed with all the many small things happening in my life right now i'm procrastinating on them and not checking them off and they and the pile gets bigger,0,,,,
i’m really struggling with consequences and anxiety at the moment. i’m struggling with work and isolation from coronavirus my head is melted,my life makes me feel ___depressed_,1,,,,
i can’t let go of my love for my husband,i don’t know what to do,0,,,,
breakup,i have urges to masturbate and i need an advice,0,,,,
i feel lonely... i loved a girl and she suddenly stopped talking to me.:. i have everyone around me (my family) but it feels so alone and sad not talking to that one person,i feel really lonely. i need someone to talk to.,1,,,,
depression frustration helplessness jealousy hopelessness suicidal thoughts,roadtrip tv road rage,0,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,1,,,,
sexuality findom,domestic discipline,0,,,,
stress,the pandemic is stressing me out and making me worried.,1,,,,
I don't feel like she loves me as much as she says she does,I just want a baby so bad: ( is that so hard to have???,0,,,,
"I just broke down in tears while working, nice, three more hours to go..",Depersonalization is not fun. Being in a body feels so strange right now.,0,,,,
i feel so lonely and incapable of everything,"felling alone and depressed, i feel really sad and i want to tell someone about it",1,,,,
i just feel mentally drained and numb i can’t feel anything anymore i feel depressed and sometimes i just can’t take it anymore and break down,my stress makes me feel _unproductive tired like i cant move and my brain wont down___,1,,,,
I have left school but the bullies have never left my mind.  They still mock me.,my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,0,,,,
I'm worried about losing my job,I want to kill myself. Suicide is the best option.,0,,,,
dating concern,"hello im guy and like someone but i keep seeing her in school and i had very hard feeling for herr but she didnt and after that something happen so we go friend like near friends, then one day they stopped talking to me for no reasson they said that i was gay, dirty , and a liar for no reasson",0,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
purpose in life,relationship advice,0,,,,
my stress makes me feel,eating disorder,0,,,,
depression,"friendship, depression, and suicide",1,,,,
"i am so destructive. i am so upset. i feel so bad. so many emotions i’m having right now , i can’t sleep, eat or even think. i feel like i need to go somewhere",bord,0,,,,
"I am tired, work has been brutal lately.",I'm just now realizing how lonely I actually am,0,,,,
Relationship insecurities,Relationship,1,,,,
my insurance is to high,"i'm struggling on viewing things 'normally', and that makes me disjointed. i paid people to talk about it and they are no longer available.",0,,,,
family issues and crisis,crying all the time and cants stop sudden attack of crying,0,,,,
Work makes me feel negative,I feel stressed out about relationships and i don’t know if I’ll ever have one,0,,,,
When your boss says I don't care more than any other phrase...,"I was sexually abused by my grandfather. I tell people so it no longer attacks my mind. Once a secret is out there, it can no longer hurt me.",0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",I'm addicted to pornography but I'm getting better. Any tips for staying clear from the thought of it?,0,,,,
My dad is racist,How do you get over an abusive past?,0,,,,
i'm disappointing my mom,i’m scared of my period not coming,0,,,,
i feel alone almost all the time,"i’m so depressed lately, depressed and alone and going to classes make me feel even lonelier even though i'm surrounded by people",1,,,,
I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,I'm depressed and losing control of my life.,0,,,,
I'm worried about losing my job,I feel really stressed about college.,0,,,,
scared of toes,my mind is asking if my daughter would be better off without me,0,,,,
Boss makes me feel frustrated,Three more months until my suicide date.,0,,,,
Days just get lonelier with no relief.,Wish to tell him about my grief very soon,0,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.",i feel i am getting apart fron my family,0,,,,
relationships,stress makes me feel __overwhelmed.__,0,,,,
Depression anxiety,Anxiety and loss,1,,,,
I feel sad,"sad, I feel shit, I don't like my life",1,,,,
depression anxiety lgbt anger issues,depression,1,,,,
I don't feel like she loves me as much as she says she does,Family makes me feel restricted pressured,0,,,,
my relationship makes me feel __confused__,"miss my ex boyfriend, while i have a way better boyfriend now :(",1,,,,
i’m dating a guy with depression,help,0,,,,
I feel like my gf is mad at me,Sometimes being a military wife sucks!,0,,,,
please  please new yorkers  go home!,marriage,0,,,,
i need help with relationship advice today marks exactly one month since my boyfriend broke up with me i am still very upset and want to know how to deal with the situation as it is still fairly fresh,relationships,0,,,,
I feel like my gf is mad at me,I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",My family thinks I'm a failure and I'm only 14...,0,,,,
friends and boys,friends and dating,1,,,,
israel,israel,1,,,,
dealing with stress and burnout,"i just want to talk, it's all piling up i guess",0,,,,
gay nudes,want my ex back 😭,0,,,,
relationships,gender,0,,,,
relationship,"anxiety, insomnia, anxiety",0,,,,
im bored,i feel pressured from everywhere and i don’t want to annoy anyone by telling them how i feel,0,,,,
My partner doesn't understand me.,"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.",1,,,,
"My depression is mostly irritating after all these years, but still awful.",I cry literally every night just because I know when I wake up I have to go to school,0,,,,
My dad is racist,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
love and romance,relationship issues,1,,,,
i feel depressed and the things that used to make me happy doesn’t make me happy anymore,voids,1,,,,
"i feel like i have no friends to talk to.   my boyfriend is mentally abusive towards me.  he has no job and i’m working constantly to keep us and pay the bills, it’s really frustration.  i’m getting to the point i feel like i don’t want to be here anymore.",just want to talk,1,,,,
I don't feel like she loves me as much as she says she does,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
Stressed and bad past,My past,1,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",1,,,,
"i have severe blushing, erythnaphopia, and very bad anxiety",existential crisis,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,"I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
I just experienced the scariest moment ever and now I’m afraid of my dad,My dad was drunk and I’m really scared now,1,,,,
My work makes me feel,My stress makes me feel,1,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",I wish you could choose who your parents are.,0,,,,
"my boyfriend is recently divorced from a painful 10 year marriage and doesn’t want to settle down for a long time. i knew and accepted this when we started dating. however, he’s moving on once his work contract is up and, even though he says i make him so happy, he doesn’t want me to come with him.",what should i do when my korean crush (we like each other) is mad. he doesn't want pick up my calls and doesn't reply my chats even he read it and didn't block me yet.,0,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??","I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
talk,"i need someone to talk to out of work and bored to death, i'm just bored and need someone to talk to",1,,,,
"hi, firstly i want to apologise for my writing as i know is not the best, but  i hope you will quite understand what i am trying to say :) anyway currently i feel very worried and dont know what to do",health,0,,,,
"i had something traumatic happen to me for a couple of years , but i was young & i didnt want to tell anyone. i feel like its affecting all my decisions towards things i want.",I'm gay and no one knows. Should I tell people?,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
anxiety,need nudes,0,,,,
hey,i'm stressed about school starting,0,,,,
bored & final year exams pressure,school,1,,,,
moral doubts,my relationship makes me feel,0,,,,
autistic child anxiety  depression,im having severe separation anxiety.,0,,,,
I feel so alone..,"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",0,,,,
i don't feel like i'm good enough to be wanted by anyone i feel really alone i also feel like i'm not good enough for my parents,"emptiness, loneliness",0,,,,
i’m having anxiety about my period and my body,i’m suicidal,0,,,,
I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,1,,,,
Boss makes me feel frustrated,"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
"I thought my depression couldn't get any worse, but with more bad news coming my way, I feel like I'm drowning :/","I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
just looking for someone to talk to :),i feel depressed and being pressured by everyone around me,0,,,,
Can someone figure out my sexuality for me because I can't,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
Masturbations,Masturbatory,1,,,,
My friends hate me and my family doesn’t believe me,Friends hate me for being trans and my parents won’t listen to me and think it’s just a phase,1,,,,
3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,Depersonalization is not fun. Being in a body feels so strange right now.,1,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,i need money and my job  freaking sucks they barley pay me anything,0,,,,
relationship,my body i am overweight,0,,,,
sad,my school makes me feel,0,,,,
"i hate myself i feel like no matter what i do, i’m never going to be good enough",findom,0,,,,
I have left school but the bullies have never left my mind.  They still mock me.,How do I get enough motivation for studying?,0,,,,
Anorexia Self harm,Anorexia,1,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
"stress, health",relationship,0,,,,
family,"i’m a closeted gay christian and i want someone to help me sort out my struggles, ending a 6 year abusive relationship with my bf whom i live with",0,,,,
i’m sad that schools starting i have no friends,"im awkward anti social and im useless to everyone i find it hard to even talk to my own family about my sadness because i feel weak and think they will laugh , i am scared i will get bullied for coming out as trans",1,,,,
When your boss says I don't care more than any other phrase...,"I just broke down in tears while working, nice, three more hours to go..",1,,,,
"broke up with the girlfriend, and being stupid let go of all my friends too, don't know how to reverse",long-distance,0,,,,
"The girl I like keeps hanging out with this other guy,what do I do?","I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",1,,,,
"i am lonely, and i feel like i have a toxic family.","hollow, a passenger in a world that i don't belong too. i feel unloved and lonely",1,,,,
my moms problems,mom,1,,,,
im being bullied,people i know around me are starting to take illegal drugs and i don’t know why,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,"I am tired, work has been brutal lately.",1,,,,
gender identity,"not sure if boyfriend is cheating, i have been depressed for a few months now, i finally thought that i was getting better and then i got sad again and couldn’t stop crying no one understands and i don’t have anyone to talk to not even my own boyfriend",0,,,,
I want to kill myself. Suicide is the best option.,I'm tired of my dad treating me like a piece of shit,0,,,,
Depersonalization is not fun. Being in a body feels so strange right now.,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,1,,,,
"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",I want to be more active but I'm too depressed.,0,,,,
"Hello! I want to ask a requestion regarding Chemistry 1:50 pm May I? How can we calculate the value of IOnic product of any substance? Like, how do we know the value for the ionic concentration of H+ ions in water is 1 x 10*-7 How? I know it is found by experiment But, kindly elaborate",Chemistry Questions,1,,,,
sad,"loneliness lonely feeling really down confused, sad, lonely betrayed being alone is sad",1,,,,
meeting new people,don't want to live,0,,,,
relationship,life,0,,,,
I'm gay and no one knows. Should I tell people?,"My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,"My depression is mostly irritating after all these years, but still awful.",0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,I feel so alone..,1,,,,
daily struggles,"my family makes me feel useless and like they would be better without me, idk",0,,,,
relationship,"how to deal with a romantic interest who has depression, relationships",1,,,,
I'm just now realizing how lonely I actually am,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
stressed,self harm,0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,This depression is just getting worse... I feel no hope...,0,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.","I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.","I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
bisexuall problems,crossdreser problems,1,,,,
Working late again trying to balance work life and social life,I want to kill myself. Suicide is the best option.,0,,,,
social anxiety,witnessed something traumatic,0,,,,
uh,"to kno what good a god belief is, whats the point",0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,i'm there for my coworkers but they rarely help me when I need it.,1,,,,
"my school makes me feel stressed and especially with everything going on,i just feel alone.",disturbed and dissociated,1,,,,
depression,depressed,1,,,,
my relationship makes me feel,is there someone out there,0,,,,
Three more months until my suicide date.,So nervous for school it's starting tomorrow,0,,,,
Relationship makes me feel angry,I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,0,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,I'm so depressed,0,,,,
froends,probation,0,,,,
"i want someone to help me become a cheerful, confident person which i feel i am deep inside",poop,0,,,,
"I am nervous, I don't know why. I can't live much longer. I want to die.",I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,0,,,,
Working late again trying to balance work life and social life,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
i'm there for my coworkers but they rarely help me when I need it.,I don't know if I'm ever going to fully outgrow my trauma.,0,,,,
Surrounded by company but still feel alone.,"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
friends,"depressed, suicidal, friendship",1,,,,
i’m pregnant and i stopped my anti depressants (prozac) i have taken for years and i feel terribly depressed and lost the urge to wanna work and move forward with life,"i’ve got depression and want help because i’m feeling really sad, low and lonely , depression",1,,,,
my neighborhood is not safe,i'm lonely angry sad and have no one to talk to at home with about my emotions,0,,,,
i used to write poems earlier but now i cannot write anything. what is wrong with me,seeking relationship advice...i think i’ve been slightly ghosted and i don’t know what to do because i work with this man,0,,,,
long-distance relationship stress,i guess my main issue right now is abandonment and trust issues with a little bit of relationship problems sprinkled in,0,,,,
can I hide a pregnancy from my mom?,Surrounded by company but still feel alone.,0,,,,
porn,erected erected,1,,,,
I'm gay and no one knows. Should I tell people?,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
children,boy problems,0,,,,
i'm babysitting my younger sibling whenever i have free time and i'm sick of it,family,1,,,,
my parents are not emotionally supportive and all they do is make me feel like i'm not worth anything to them,a lot,0,,,,
I'm tired of my dad treating me like a piece of shit,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,I just want a baby so bad: ( is that so hard to have???,0,,,,
I am jealous of a celebrity,I have jealousy issues,1,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
family and past,is this confidential,0,,,,
relationship issues and financial problem,anxiety,0,,,,
Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",0,,,,
can I hide a pregnancy from my mom?,I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,1,,,,
i feel worthless and unmotivated its all so chaotic,depression feeling guilt,1,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",I have no problem beating up a none year old if they don't stop bullying my little girl.,1,,,,
How do you get over an abusive past?,"The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",1,,,,
is she cheating on me,my relationship makes me feel __confused__,1,,,,
Boss makes me feel frustrated,"My depression is mostly irritating after all these years, but still awful.",0,,,,
fat jiggly booty white gal,dating,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,"I feel like I don't matter to him, by his actions.",1,,,,
ex boyfriend,"cycling, financial",0,,,,
I’m just feeling like I’m being left out by friends and feel a bit sad,I feel left out,1,,,,
my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,Missed my mom. It's been a year but I'm still struggling to cope with her death,1,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,"I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
i’m not getting any emotional support from my husband and i feel really alone and sad and misunderstood,lesbian,0,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,"I feel like I don't matter to him, by his actions.",1,,,,
i have a big crush on my guy friend but i have a boyfriend who i love,"relationship, different religion relationship",0,,,,
i need to get something off my chest right now,trauma from abusive ex. just wanna get secrets off my chest,1,,,,
I feel really stressed about college.,I cry literally every night just because I know when I wake up I have to go to school,1,,,,
girlfriend,just a friend,0,,,,
severe depression,when i have a bad day a fight or anything in general. i don't have anyone to run to or talk to.i always have someone who is judgemental or who just adds on making the problem worse.i feel lonely. i'm stressed i feel like a bottle about to explode because i don't have anyone or no one who understands,1,,,,
my something makes me feel,"missing somone,lonley and stress",0,,,,
"I thought my depression couldn't get any worse, but with more bad news coming my way, I feel like I'm drowning :/",Living without drugs is incredibly challenging.,0,,,,
tiktok,someone is giving me allowance money to be his friend,0,,,,
anxiety,i have nothing right in my life,0,,,,
I feel like my gf is mad at me,Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,1,,,,
i havent told anyone about my depression or what happened to me...,i cant find anyone,0,,,,
I constantly think my kids would be better off without me.,This depression is just getting worse... I feel no hope...,0,,,,
long-distance relationship stress,break ups,1,,,,
my family makes me feel upset,i overthink everything and stress myself out,0,,,,
social anxiety and depression,"incompetence, sepperation anxiety and depression",1,,,,
Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,This depression is just getting worse... I feel no hope...,1,,,,
My dad is racist,Living without drugs is incredibly challenging.,0,,,,
my family hate me,everything overwhelmed and confused about everything that's going on in my life currently my life makes me feel my life makes me feel sick,0,,,,
guy friends,relationship need to relate to someone on a deep level,1,,,,
"I am nervous, I don't know why. I can't live much longer. I want to die.",3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
My partner doesn't understand me.,"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",1,,,,
"yesterday i spoke with the moderator alejandro and i followed his advice to speak with my father because he always has affairs with other women, even my mom's friend and both my mom and i know but if they get divorced my mother & brother would've to go back to our home country",hopeless,0,,,,
I feel really stressed about college.,"I was sexually abused by my grandfather. I tell people so it no longer attacks my mind. Once a secret is out there, it can no longer hurt me.",0,,,,
boy,"rejection,lgbt, shame",0,,,,
my relationship makes me feel,my stress makes me feel,1,,,,
having shortness of breath and seasonal allergies are making me feel like i have the virus,self harm,0,,,,
I'm worried about losing my job,Three more months until my suicide date.,0,,,,
i'm bi-sexual and this girl i'm talking to i'm not sure if we are dating or not,i’m having struggles in gender,0,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",Wish to tell him about my grief very soon,0,,,,
my life makes me feel like i want to kill myself,"my family hates me, i have no meaning, i am a burden on the life of everyone i love, i am everyone’s least favorite person, and the world is a better place without me",1,,,,
relationship,"relationship, relationship problems",1,,,,
